score_differential,oneScoreGame,period,seconds_remaining,secondsInHalf,yardsToGoal,down,distance,play_type
21,FALSE,3,1182,1182,74,1,10,Rush
0,TRUE,2,2700,900,24,1,10,Rush
2,TRUE,4,840,840,65,2,6,Rush
-7,TRUE,1,3030,1230,60,3,6,Pass
-7,TRUE,2,2430,630,70,1,10,Rush
-6,TRUE,1,3526,1726,7,2,2,Rush
28,FALSE,2,2292,492,65,2,19,Rush
24,FALSE,4,696,696,81,2,6,Pass
11,FALSE,4,850,850,42,1,40,Pass
21,FALSE,3,1182,1182,74,1,10,Rush
0,TRUE,2,2700,900,24,1,10,Rush
0,TRUE,1,3287,1487,48,3,21,Pass
-6,TRUE,3,1800,1800,75,1,10,Pass
28,FALSE,3,1793,1793,46,1,10,Pass
14,FALSE,4,863,863,31,1,10,Rush
-3,TRUE,4,900,900,25,2,10,Rush
-18,FALSE,1,2704,904,75,1,10,Pass
-10,FALSE,2,2517,717,69,2,9,Rush
0,TRUE,1,2790,990,7,1,7,Rush
-3,TRUE,2,2009,209,71,2,1,Rush
0,TRUE,3,1195,1195,48,1,10,Pass
-10,FALSE,3,1350,1350,80,2,15,Pass
45,FALSE,4,540,540,64,1,10,Rush
25,FALSE,3,1087,1087,78,1,10,Pass
28,FALSE,4,371,371,45,2,12,Rush
-3,TRUE,3,1800,1800,74,4,9,Rush
-6,TRUE,3,1586,1586,24,2,6,Pass
-31,FALSE,4,0,0,24,4,21,Rush
-7,TRUE,1,2750,950,71,1,10,Pass
-7,TRUE,2,2099,299,30,3,1,Pass
-7,TRUE,4,153,153,48,1,10,Rush
-3,TRUE,4,303,303,41,1,10,Rush
-10,FALSE,4,858,858,56,4,1,Rush
10,FALSE,4,797,797,13,1,10,Pass
-14,FALSE,3,1735,1735,28,1,10,Rush
-28,FALSE,4,140,140,71,2,6,Rush
0,TRUE,1,2820,1020,55,1,26,Pass
-3,TRUE,1,3180,1380,52,2,8,Rush
-10,FALSE,3,1073,1073,33,1,10,Pass
-21,FALSE,3,1505,1505,75,1,10,Rush
28,FALSE,4,449,449,61,3,1,Rush
-17,FALSE,2,2219,419,35,1,10,Pass
-11,FALSE,2,1974,174,68,1,10,Pass
0,TRUE,1,2820,1020,55,1,26,Pass
-3,TRUE,1,3180,1380,52,2,8,Rush
-10,FALSE,3,1073,1073,33,1,10,Pass
-21,FALSE,3,1505,1505,75,1,10,Rush
28,FALSE,4,449,449,61,3,1,Rush
-17,FALSE,2,2219,419,35,1,10,Pass
-11,FALSE,2,1974,174,68,1,10,Pass
-7,TRUE,1,2786,986,51,4,1,Rush
-28,FALSE,3,1479,1479,7,2,7,Rush
7,TRUE,4,772,772,56,1,10,Rush
13,FALSE,4,756,756,55,2,6,Pass
-14,FALSE,3,1316,1316,65,1,10,Rush
-23,FALSE,2,2497,697,77,3,4,Rush
0,TRUE,4,36,36,67,3,2,Rush
-11,FALSE,3,1437,1437,40,2,8,Rush
0,TRUE,1,3033,1233,96,1,10,Rush
10,FALSE,1,2751,951,12,1,10,Rush
21,FALSE,2,2309,509,48,3,1,Rush
0,TRUE,3,1285,1285,99,1,10,Rush
21,FALSE,3,1474,1474,23,1,10,Rush
18,FALSE,4,542,542,31,2,12,Rush
-24,FALSE,3,1720,1720,65,3,1,Pass
-10,FALSE,3,1132,1132,15,1,10,Pass
-3,TRUE,3,1010,1010,45,1,10,Rush
-3,TRUE,4,675,675,8,1,8,Rush
-10,FALSE,4,210,210,62,1,10,Rush
0,TRUE,2,2046,246,73,2,8,Rush
-7,TRUE,2,2700,900,3,2,3,Rush
-2,TRUE,3,1493,1493,65,3,9,Rush
-7,TRUE,3,1130,1130,49,2,10,Rush
-5,TRUE,4,349,349,10,1,10,Rush
48,FALSE,4,900,900,42,3,2,Rush
7,TRUE,1,2830,1030,46,2,10,Pass
-7,TRUE,1,3465,1665,55,1,10,Rush
5,TRUE,2,2293,493,30,3,3,Rush
14,FALSE,3,1469,1469,45,2,16,Rush
35,FALSE,4,28,28,99,1,10,Rush
-14,FALSE,2,2285,485,75,1,10,Rush
0,TRUE,1,2991,1191,56,1,10,Rush
10,FALSE,1,2916,1116,35,1,10,Rush
-17,FALSE,4,885,885,56,1,10,Rush
0,TRUE,1,2911,1111,19,3,1,Rush
-17,FALSE,4,691,691,66,1,10,Rush
19,FALSE,2,2069,269,91,3,21,Pass
-12,FALSE,3,1413,1413,50,1,10,Pass
4,TRUE,1,2827,1027,33,4,1,Rush
0,TRUE,1,3565,1765,69,2,4,Rush
0,TRUE,1,3391,1591,55,4,1,Rush
-2,TRUE,2,1881,81,74,1,10,Pass
0,TRUE,4,266,266,38,1,10,Rush
-9,FALSE,2,2050,250,62,1,10,Rush
0,TRUE,1,2800,1000,29,1,10,Rush
-3,TRUE,1,2970,1170,71,1,25,Rush
-3,TRUE,1,2835,1035,37,1,10,Rush
3,TRUE,1,3250,1450,66,1,10,Rush
24,FALSE,3,1343,1343,30,3,4,Pass
-32,FALSE,4,578,578,49,2,10,Pass
7,TRUE,1,3218,1418,17,1,10,Rush
-10,FALSE,1,2977,1177,60,2,7,Rush
-44,FALSE,4,704,704,15,2,8,Rush
-44,FALSE,4,533,533,80,1,10,Pass
44,FALSE,4,300,300,55,3,5,Rush
37,FALSE,4,530,530,49,1,10,Rush
3,TRUE,4,404,404,1,1,1,Rush
-7,TRUE,1,3272,1472,81,2,14,Pass
-4,TRUE,2,2335,535,60,2,10,Rush
0,TRUE,1,3141,1341,80,1,10,Pass
3,TRUE,2,1961,161,38,2,15,Rush
3,TRUE,1,3045,1245,80,1,10,Rush
-37,FALSE,4,570,570,67,2,4,Pass
-3,TRUE,1,3002,1202,60,2,5,Rush
3,TRUE,2,2070,270,38,3,1,Rush
7,TRUE,4,847,847,55,1,10,Rush
11,FALSE,2,1807,7,18,3,14,Rush
21,FALSE,4,403,403,71,2,6,Rush
-3,TRUE,2,2543,743,91,1,10,Rush
3,TRUE,1,3269,1469,67,2,4,Rush
3,TRUE,2,2644,844,86,1,10,Rush
4,TRUE,3,1656,1656,35,1,19,Pass
14,FALSE,3,1235,1235,43,2,4,Pass
-17,FALSE,4,418,418,35,1,10,Pass
0,TRUE,1,3490,1690,80,1,10,Pass
10,FALSE,1,2805,1005,37,2,11,Rush
7,TRUE,2,2366,566,16,1,10,Rush
-3,TRUE,5,-900,-900,2,3,1,Rush
19,FALSE,3,1632,1632,74,3,1,Rush
22,FALSE,4,843,843,54,1,10,Pass
0,TRUE,1,3600,1800,33,1,10,Pass
10,FALSE,1,2978,1178,62,1,10,Rush
21,FALSE,2,2380,580,51,2,6,Rush
7,TRUE,1,3365,1565,77,1,10,Rush
7,TRUE,1,3195,1395,82,3,13,Pass
-13,FALSE,3,1742,1742,86,1,10,Rush
42,FALSE,3,1441,1441,82,1,10,Pass
35,FALSE,3,1610,1610,50,1,10,Pass
0,TRUE,4,647,647,40,3,7,Pass
7,TRUE,2,2700,900,34,4,1,Rush
0,TRUE,1,3330,1530,1,2,1,Rush
-8,FALSE,2,1879,79,41,2,4,Pass
-3,TRUE,4,155,155,34,3,3,Rush
10,FALSE,2,2700,900,34,4,4,Pass
0,TRUE,2,2161,361,40,1,10,Rush
0,TRUE,1,3149,1349,55,2,7,Rush
-7,TRUE,3,1800,1800,65,2,10,Rush
12,FALSE,4,383,383,43,1,10,Rush
18,FALSE,4,378,378,7,1,7,Rush
0,TRUE,1,3180,1380,66,3,2,Pass
-3,TRUE,3,1800,1800,31,3,5,Pass
-17,FALSE,3,1187,1187,77,3,5,Pass
0,TRUE,3,1228,1228,75,1,10,Rush
38,FALSE,4,91,91,71,1,10,Rush
0,TRUE,4,785,785,34,3,2,Rush
11,FALSE,2,1880,80,24,1,10,Pass
-7,TRUE,4,34,34,8,1,8,Rush
0,TRUE,3,1654,1654,70,2,5,Rush
0,TRUE,1,3600,1800,47,2,6,Rush
-25,FALSE,2,2184,384,10,1,10,Rush
-14,FALSE,3,1245,1245,24,3,1,Rush
21,FALSE,2,1962,162,32,1,10,Rush
-1,TRUE,3,1800,1800,5,1,5,Rush
4,TRUE,3,1629,1629,46,2,8,Pass
-10,FALSE,2,2534,734,27,2,1,Rush
-7,TRUE,3,1761,1761,74,2,9,Rush
0,TRUE,3,1800,1800,69,2,4,Rush
0,TRUE,3,1740,1740,52,1,10,Pass
-10,FALSE,1,3133,1333,91,2,8,Pass
0,TRUE,1,2842,1042,56,1,10,Pass
7,TRUE,1,3489,1689,84,1,15,Pass
0,TRUE,1,3081,1281,80,1,10,Pass
-4,TRUE,2,2223,423,37,3,15,Pass
-14,FALSE,3,1593,1593,66,1,10,Pass
0,TRUE,1,3600,1800,61,2,10,Pass
-6,TRUE,4,167,167,70,1,10,Pass
-14,FALSE,2,2562,762,31,3,6,Pass
-18,FALSE,2,1811,11,62,1,10,Pass
0,TRUE,1,3037,1237,66,1,10,Pass
3,TRUE,3,1419,1419,64,1,10,Pass
